"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode","percent_vote"
2000,"TEXAS","TX","FORT BEND",48157,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",73567,123509,20191203,"TOTAL",59.5640803504198
2000,"TEXAS","TX","HAYS",48209,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",20170,34317,20191203,"TOTAL",58.7755339918991
2000,"TEXAS","TX","JIM WELLS",48249,"PRESIDENT","AL GORE","DEMOCRAT",7418,12023,20191203,"TOTAL",61.6984113781918
2000,"UTAH","UT","KANE",49025,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2254,2802,20191203,"TOTAL",80.4425410421128
2000,"VIRGINIA","VA","CHESTERFIELD",51041,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",69924,110951,20191203,"TOTAL",63.0224153004479
2000,"VIRGINIA","VA","LOUDOUN",51107,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",42453,75653,20191203,"TOTAL",56.1154217281535
2000,"VIRGINIA","VA","HARRISONBURG",51660,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5741,9958,20191203,"TOTAL",57.6521389837317
2000,"WASHINGTON","WA","ASOTIN",53003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4909,7985,20191203,"TOTAL",61.477770820288
2000,"WASHINGTON","WA","CHELAN",53007,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",16980,26569,20191203,"TOTAL",63.9090669577327
2000,"WASHINGTON","WA","KLICKITAT",53039,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4557,8180,20191203,"TOTAL",55.7090464547677
2000,"WASHINGTON","WA","OKANOGAN",53047,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",9384,14796,20191203,"TOTAL",63.4225466342255
2000,"WASHINGTON","WA","WHITMAN",53075,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",9003,16234,20191203,"TOTAL",55.4576814093877
2000,"WYOMING","WY","PARK",56029,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",9884,12836,20191203,"TOTAL",77.0021813649112
2000,"WYOMING","WY","SUBLETTE",56035,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2624,3216,20191203,"TOTAL",81.592039800995
2004,"ALABAMA","AL","AUTAUGA",1001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",15196,20081,20191203,"TOTAL",75.6735222349485
2004,"ALABAMA","AL","CONECUH",1035,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3271,6021,20191203,"TOTAL",54.3265238332503
2004,"ALABAMA","AL","DALE",1045,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",13621,18231,20191203,"TOTAL",74.7134002523175
2004,"ALABAMA","AL","ELMORE",1051,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",22056,28680,20191203,"TOTAL",76.9037656903766
2004,"ALABAMA","AL","ESCAMBIA",1053,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",8513,12395,20191203,"TOTAL",68.6809197256958
2004,"ALABAMA","AL","MOBILE",1097,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",92014,156771,20191203,"TOTAL",58.693253216475
2004,"ALABAMA","AL","TUSCALOOSA",1125,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",42877,69830,20191203,"TOTAL",61.4019762279822
2004,"ARIZONA","AZ","GREENLEE",4011,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",1899,3067,20191203,"TOTAL",61.9171829149006
2004,"ARIZONA","AZ","MARICOPA",4013,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",679455,1192751,20191203,"TOTAL",56.9653682956459
2004,"ARKANSAS","AR","ST. FRANCIS",5123,"PRESIDENT","JOHN KERRY","DEMOCRAT",5684,9588,20191203,"TOTAL",59.2824363788068
2004,"ARKANSAS","AR","WOODRUFF",5147,"PRESIDENT","JOHN KERRY","DEMOCRAT",1972,3026,20191203,"TOTAL",65.1685393258427
2004,"CALIFORNIA","CA","AMADOR",6005,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",10479,16879,20191203,"TOTAL",62.0830617927602
2004,"CALIFORNIA","CA","CALAVERAS",6009,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",13601,22306,20191203,"TOTAL",60.9746256612571
2004,"CALIFORNIA","CA","COLUSA",6011,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4142,6166,20191203,"TOTAL",67.1748297113201
2004,"CALIFORNIA","CA","DEL NORTE",6015,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5356,9421,20191203,"TOTAL",56.8517142553869
2004,"CALIFORNIA","CA","EL DORADO",6017,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",52878,86278,20191203,"TOTAL",61.2879297155706
2004,"CALIFORNIA","CA","FRESNO",6019,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",141988,247160,20191203,"TOTAL",57.4478070885256
2004,"CALIFORNIA","CA","GLENN",6021,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",6308,9435,20191203,"TOTAL",66.8574456809751
2004,"CALIFORNIA","CA","KERN",6029,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",140417,210858,20191203,"TOTAL",66.5931574803896
2004,"CALIFORNIA","CA","MADERA",6039,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",24871,38780,20191203,"TOTAL",64.1335740072202
2004,"CALIFORNIA","CA","MARIPOSA",6043,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5215,8638,20191203,"TOTAL",60.3727714748784
2004,"CALIFORNIA","CA","MERCED",6047,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",32773,57945,20191203,"TOTAL",56.5588057640866
2004,"CALIFORNIA","CA","MODOC",6049,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3235,4456,20191203,"TOTAL",72.5987432675045
2004,"CALIFORNIA","CA","PLACER",6061,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",95969,152945,20191203,"TOTAL",62.7473928536402
2004,"CALIFORNIA","CA","PLUMAS",6063,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",6905,11178,20191203,"TOTAL",61.7731257827876
2004,"CALIFORNIA","CA","RIVERSIDE",6065,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",322473,556882,20191203,"TOTAL",57.9068815296598
2004,"CALIFORNIA","CA","SAN BERNARDINO",6071,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",289306,522777,20191203,"TOTAL",55.3402311119273
2004,"CALIFORNIA","CA","SHASTA",6089,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",52249,77571,20191203,"TOTAL",67.3563574016063
2004,"CALIFORNIA","CA","SIERRA",6091,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",1249,1945,20191203,"TOTAL",64.2159383033419
2004,"CALIFORNIA","CA","STANISLAUS",6099,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",85407,145514,20191203,"TOTAL",58.693321604794
2004,"CALIFORNIA","CA","SUTTER",6101,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",20254,30145,20191203,"TOTAL",67.18858848897
2004,"CALIFORNIA","CA","TULARE",6107,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",65399,98739,20191203,"TOTAL",66.2342134313696
2004,"CALIFORNIA","CA","TUOLUMNE",6109,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",15745,26188,20191203,"TOTAL",60.1229570795784
2004,"CALIFORNIA","CA","YUBA",6115,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",12076,18020,20191203,"TOTAL",67.0144284128746
2004,"COLORADO","CO","HINSDALE",8053,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",355,602,20191203,"TOTAL",58.9700996677741
2004,"COLORADO","CO","MESA",8077,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",41539,61885,20191203,"TOTAL",67.1228892300234
2004,"COLORADO","CO","MONTROSE",8085,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",11218,16219,20191203,"TOTAL",69.1657932054997
2004,"COLORADO","CO","RIO GRANDE",8105,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3448,5523,20191203,"TOTAL",62.4298388556944
2004,"COLORADO","CO","TELLER",8119,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",8094,11840,20191203,"TOTAL",68.3614864864865
2004,"COLORADO","CO","WELD",8123,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",55591,88652,20191203,"TOTAL",62.7069891260208
2004,"FLORIDA","FL","OKALOOSA",12091,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",69693,89756,20191203,"TOTAL",77.6471767904096
2004,"FLORIDA","FL","ST. JOHNS",12109,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",59196,86290,20191203,"TOTAL",68.6012284158072
2004,"FLORIDA","FL","SANTA ROSA",12113,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",52059,67307,20191203,"TOTAL",77.3455955546971
2004,"GEORGIA","GA","BARROW",13013,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",13520,17727,20191203,"TOTAL",76.2678400180516
2004,"GEORGIA","GA","BULLOCH",13031,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",12252,19171,20191203,"TOTAL",63.9090292629492
2004,"GEORGIA","GA","COBB",13067,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",173467,279473,20191203,"TOTAL",62.0693233335599
2004,"GEORGIA","GA","COLUMBIA",13073,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",35549,47144,20191203,"TOTAL",75.4051416935347
2004,"GEORGIA","GA","COWETA",13077,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",31682,42545,20191203,"TOTAL",74.4670349042191
2004,"GEORGIA","GA","CRISP",13081,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3865,6250,20191203,"TOTAL",61.84
2004,"GEORGIA","GA","EARLY",13099,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2495,4213,20191203,"TOTAL",59.2214573937812
2004,"GEORGIA","GA","GLYNN",13127,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",18608,27692,20191203,"TOTAL",67.1963021811354
2004,"GEORGIA","GA","GWINNETT",13135,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",160445,243917,20191203,"TOTAL",65.7785230221756
2004,"GEORGIA","GA","LONG",13183,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",1994,3036,20191203,"TOTAL",65.6785243741765
2004,"GEORGIA","GA","MCDUFFIE",13189,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4846,7773,20191203,"TOTAL",62.3440113212402
2004,"GEORGIA","GA","PAULDING",13223,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",30843,40467,20191203,"TOTAL",76.2176588331233
2004,"GEORGIA","GA","SPALDING",13255,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",13461,21007,20191203,"TOTAL",64.0786404531823
2004,"GEORGIA","GA","TIFT",13277,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",8619,12520,20191203,"TOTAL",68.8418530351438
2004,"GEORGIA","GA","TROUP",13285,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",14183,21912,20191203,"TOTAL",64.7270901788974
2004,"GEORGIA","GA","WALTON",13297,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",21594,27624,20191203,"TOTAL",78.1711555169418
2004,"GEORGIA","GA","WHITFIELD",13313,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",19297,26356,20191203,"TOTAL",73.2167248444377
2004,"IDAHO","ID","ADA",16001,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",94641,155002,20191203,"TOTAL",61.0579218332667
2004,"IDAHO","ID","BANNOCK",16005,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",21479,34843,20191203,"TOTAL",61.6450937060529
2004,"IDAHO","ID","BINGHAM",16011,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",12734,16564,20191203,"TOTAL",76.877565805361
2004,"IDAHO","ID","BONNEVILLE",16019,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",30048,38871,20191203,"TOTAL",77.3018445627846
2004,"IDAHO","ID","CAMAS",16025,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",450,595,20191203,"TOTAL",75.6302521008403
2004,"IDAHO","ID","CANYON",16027,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",41599,55692,20191203,"TOTAL",74.6947496947497
2004,"IDAHO","ID","FREMONT",16043,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4965,5769,20191203,"TOTAL",86.0634425377015
2004,"IDAHO","ID","JEROME",16053,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5177,6580,20191203,"TOTAL",78.677811550152
2004,"IDAHO","ID","MINIDOKA",16067,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5797,7200,20191203,"TOTAL",80.5138888888889
2004,"IDAHO","ID","POWER",16077,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2105,2958,20191203,"TOTAL",71.1629479377958
2004,"IDAHO","ID","TWIN FALLS",16083,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",19672,26435,20191203,"TOTAL",74.4164932854171
2004,"ILLINOIS","IL","OGLE",17141,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",14918,24091,20191203,"TOTAL",61.9235399111701
2004,"ILLINOIS","IL","SANGAMON",17167,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",55904,95375,20191203,"TOTAL",58.6149410222805
2004,"ILLINOIS","IL","STEPHENSON",17177,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",12212,21320,20191203,"TOTAL",57.2795497185741
2004,"INDIANA","IN","BARTHOLOMEW",18005,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",19093,28515,20191203,"TOTAL",66.9577415395406
2004,"INDIANA","IN","ELKHART",18039,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",42967,61380,20191203,"TOTAL",70.0016291951776
2004,"INDIANA","IN","HENDRICKS",18063,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",38430,52302,20191203,"TOTAL",73.4771136859011
2004,"INDIANA","IN","HUNTINGTON",18069,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",11617,15627,20191203,"TOTAL",74.3392845715748
2004,"INDIANA","IN","KOSCIUSKO",18085,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",22136,28360,20191203,"TOTAL",78.0535966149506
2004,"INDIANA","IN","PORTER",18127,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",34794,64873,20191203,"TOTAL",53.6340233995653
2004,"INDIANA","IN","TIPPECANOE",18157,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",30897,52360,20191203,"TOTAL",59.0087853323147
2004,"INDIANA","IN","VANDERBURGH",18163,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",41463,70654,20191203,"TOTAL",58.6845755371246
2004,"INDIANA","IN","WARRICK",18173,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",16930,26025,20191203,"TOTAL",65.0528338136407
2004,"IOWA","IA","POTTAWATTAMIE",19155,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",24558,41820,20191203,"TOTAL",58.7230989956958
2004,"KANSAS","KS","FINNEY",20055,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",7479,9933,20191203,"TOTAL",75.2944729688916
2004,"KANSAS","KS","FORD",20057,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",6632,9016,20191203,"TOTAL",73.5581188997338
2004,"KANSAS","KS","GEARY",20061,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4703,7328,20191203,"TOTAL",64.1784934497817
2004,"KANSAS","KS","HARVEY",20079,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",9534,15110,20191203,"TOTAL",63.0972865651886
2004,"KANSAS","KS","RILEY",20161,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",12672,20911,20191203,"TOTAL",60.5996843766439
2004,"KANSAS","KS","SEWARD",20175,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4272,5439,20191203,"TOTAL",78.5438499724214
2004,"KANSAS","KS","SHAWNEE",20177,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",44188,81577,20191203,"TOTAL",54.1672285080354
2004,"KANSAS","KS","STANTON",20187,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",796,966,20191203,"TOTAL",82.4016563146998
2004,"KENTUCKY","KY","JESSAMINE",21113,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",12972,18580,20191203,"TOTAL",69.8170075349839
2004,"KENTUCKY","KY","KENTON",21117,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",43664,67123,20191203,"TOTAL",65.0507277684251
2004,"LOUISIANA","LA","MOREHOUSE",22067,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",7471,12971,20191203,"TOTAL",57.5977179862771
2004,"LOUISIANA","LA","OUACHITA",22073,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",41750,64444,20191203,"TOTAL",64.7849295512383
2004,"MARYLAND","MD","ANNE ARUNDEL",24003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",133231,239667,20191203,"TOTAL",55.5900478580697
2004,"MARYLAND","MD","CALVERT",24009,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",23017,39351,20191203,"TOTAL",58.4915249930116
2004,"MARYLAND","MD","HARFORD",24025,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",71565,112728,20191203,"TOTAL",63.4846710666383
2004,"MARYLAND","MD","QUEEN ANNE'S",24035,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",14489,21794,20191203,"TOTAL",66.4816004404882
2004,"MARYLAND","MD","ST. MARY'S",24037,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",23725,37916,20191203,"TOTAL",62.5725287477582
2004,"MARYLAND","MD","WICOMICO",24045,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",21998,37503,20191203,"TOTAL",58.6566408020692
2004,"MICHIGAN","MI","ALLEGAN",26005,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",34022,53907,20191203,"TOTAL",63.1123972767915
2004,"MICHIGAN","MI","EATON",26045,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",29781,55755,20191203,"TOTAL",53.4140435835351
2004,"MICHIGAN","MI","GRAND TRAVERSE",26055,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",27446,46191,20191203,"TOTAL",59.4185014396744
2004,"MINNESOTA","MN","ANOKA",27003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",91853,174066,20191203,"TOTAL",52.7690646076775
2004,"MINNESOTA","MN","CARLTON",27017,"PRESIDENT","JOHN KERRY","DEMOCRAT",11462,18334,20191203,"TOTAL",62.5177266281226
2004,"MINNESOTA","MN","CARVER",27019,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",28510,45411,20191203,"TOTAL",62.7821452951928
2004,"MINNESOTA","MN","MOWER",27099,"PRESIDENT","JOHN KERRY","DEMOCRAT",12334,20222,20191203,"TOTAL",60.9929779448126
2004,"MINNESOTA","MN","SAINT LOUIS",27137,"PRESIDENT","JOHN KERRY","DEMOCRAT",77694,119041,20191203,"TOTAL",65.2665888223385
2004,"MISSISSIPPI","MS","ATTALA",28007,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4882,7945,20191203,"TOTAL",61.4474512271869
2004,"MISSISSIPPI","MS","CLARKE",28023,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5027,7438,20191203,"TOTAL",67.5853724119387
2004,"MISSISSIPPI","MS","COPIAH",28029,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",6316,11272,20191203,"TOTAL",56.0326472675657
2004,"MISSISSIPPI","MS","DESOTO",28033,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",35437,48981,20191203,"TOTAL",72.3484616483943
2004,"MISSISSIPPI","MS","FORREST",28035,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",15966,25936,20191203,"TOTAL",61.5592227020358
2004,"MISSISSIPPI","MS","GRENADA",28043,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5844,10050,20191203,"TOTAL",58.1492537313433
2004,"MISSISSIPPI","MS","LEAKE",28079,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4926,8173,20191203,"TOTAL",60.2716260858926
2004,"MISSISSIPPI","MS","NESHOBA",28099,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",7581,10133,20191203,"TOTAL",74.8149610184546
2004,"MISSISSIPPI","MS","OKTIBBEHA",28105,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5485,9742,20191203,"TOTAL",56.3026072675015
2004,"MISSISSIPPI","MS","SIMPSON",28127,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",6810,10077,20191203,"TOTAL",67.5796367966657
2004,"MISSISSIPPI","MS","WALTHALL",28147,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",3873,6459,20191203,"TOTAL",59.9628425452856
2004,"MISSOURI","MO","COLE",29051,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",24752,36701,20191203,"TOTAL",67.4423040244135
